,,,Course Evaluations 2014-2016,,,,,,,
9/16/2014,5,5,To learn and understand the basics around the MDM Business Studio and TIBCO MDM App login page which were met extremely well.,Yes it was.,Create MDM Project and Perspective,Product Life cycle workflow,5,5,Very knowledgeable  and patient to address all concerns,AMER
9/16/2014,4,4, ,"Overall yes. When we first started, we had to move between viewing the Webex and using our remote desktop connection, which was difficult to switch between the two and stay on top of the material being covered in the webex, but once we got into the material and labs, it was effective.", , ,5,5,"Ademola is a great instructor. I was a little concerned at first with how quickly we moved through the material, but overall Ademola was very effective.",AMER
9/12/2014,4,4,.,.,.,.,4,4,.,EMEA
9/10/2014,4,4,.,.,.,.,5,5,.,EMEA
9/12/2014,4,4,.,.,.,.,5,5,.,EMEA
9/10/2014,4,4,.,.,.,.,5,5,.,EMEA
9/10/2014,3,3,.,.,.,.,4,4,.,EMEA
9/12/2014,4,4,.,.,.,.,5,5,.,EMEA
9/10/2014,2,3,"Panoramica sul prodotto, funzionalita principali e potenzialita'",Illuminazione inappropriata,Non lavoro ancora sulla nuova area,Non lavoro ancora sulla nuova area,4,4,Preparato,EMEA
9/12/2014,3,3,.,.,.,.,4,4,.,EMEA
9/10/2014,3,3,N.A.,N.A.,N.A.,N.A.,5,5,N.A.,EMEA
9/10/2014,4,4,.,.,.,.,5,5,He has been really helpful,EMEA
9/12/2014,3,3,N.A.,N.A.,N.A.,N.A.,5,5,N.A.,EMEA
9/15/2014,5,5,Improve my general knowledge,environment was perfect,#NAME?,n/a,5,5,He is a really really good instructor. Helped us a lot. ,EMEA
9/15/2014,5,5,learn tibco basic development skills.,yes,the instructor (Max)and documents,nothing,5,5,technical skills.,EMEA
9/15/2014,5,5,Extending my TIBCO knowledge,-,-,-,4,5,good,EMEA
9/15/2014,5,4,To understand the logic and capabilities of TIBCO BW,Yes.,Lab sections.,Lab sections,5,5,"He was kind, helpful and talented.",EMEA
9/15/2014,5,5,troubleshooting on tibco,YES,labs,-,5,5,positive,EMEA
9/15/2014,4,4,-----------------------,------------------------,--------------------------,-------------------------------,5,5,------------------------------------------------,EMEA
9/15/2014,4,4,"we have a project with TIBCO , My expectation were, this project will be more understandable for me .",yes,Deployment and Management part,all of were helpful,4,4,He was really kind and helpful during the course. His knowladge about subject was good and expression and using language is also really clear and understandable,EMEA
9/12/2014,2,3,"Panoramica sul prodotto, funzionalita principali e potenzialita'",Illuminazione inappropriata,Non lavoro ancora sulla nuova area,Non lavoro ancora sulla nuova area,4,4,Preparato,EMEA
9/10/2014,4,4,xx,xx,Input Map e Regole di similitudine,xx,5,4,Molto buona in generale; da migliorare la metodologia per rendere le esercitazioni piu efficaci,EMEA
9/12/2014,4,4,xx,xx,Input Map e Regole di similitudine,xx,5,4,Molto buona in generale; da migliorare la metodologia per rendere le esercitazioni piu efficaci,EMEA
9/12/2014,4,4,.,.,.,.,5,5,He has been really helpful,EMEA
9/10/2014,3,3,...,...,...,...,5,5,...,EMEA
9/10/2014,3,3,non so come (in quale ruolo e con quali mansioni) saro interessato dall'utilizzo del prodotto che effettuera la mia azienda ed il mio futuro progetto,yes,n.a.,n.a.,5,5,"Persona estremamente positiva, competente, disponibile ed attenta alle esigenze di tutti i partecipanti",EMEA
9/12/2014,3,3,...,...,...,...,5,5,...,EMEA
9/12/2014,3,3,non so come (in quale ruolo e con quali mansioni) saro interessato dall'utilizzo del prodotto che effettuera la mia azienda ed il mio futuro progetto,yes,n.a.,n.a.,5,5,"Persona estremamente positiva, competente, disponibile ed attenta alle esigenze di tutti i partecipanti",EMEA
9/18/2014,5,5,Everything that was needed to be taught was covered very well.,Yes,Bridges and Routing,All were helpful.,5,5,Very good,APJ
9/18/2014,5,5,All concepts were cleared.,Yes,EMS Routing,NA,5,5,Instructor was very good.,APJ
9/18/2014,5,4,To clear the concepts of Ems.,yes,Bridges and Routes,-,5,5,Good,APJ
9/18/2014,4,4,To understand EMS related concepts,Yes,"Routes ,bridges",NIL,5,5,Knowledgable,APJ
9/18/2014,4,5,Clear the concepts and lab,"yes, its more supportive","bridge,routing,ft,load balance",none,5,5,Good,APJ
9/18/2014,4,3,"overview how tibco bw works, information on management level",the remote connection break sometimes ,"Designer, BW",nothing,4,3,"very competent, knows tibco products very well",EMEA
9/19/2014,4,4,Obtain a working knowledge of MDM application design,Course topics need more conceptual content clarifying what is going on behind the scenes.,All,None,5,4,Extremely knowledgeable,AMER
9/18/2014,5,4,-,-,-,-,5,4,-,EMEA
9/18/2014,5,4,To get experienced in Administration,It was OK,Lab sections,Nothing,5,5,Thanks for all information Max has provided,EMEA
9/18/2014,4,4,..,yes,Configuring the Domain,All was helpful ,4,4,he was really helpful and knowladgeable about the subjects.,EMEA
9/18/2014,5,4,Able to deploy and monitor developed applications,Yes,All,None,5,5,Good at teaching and answered our technical questions well.,EMEA
9/18/2014,4,4,Widen my knowledge about tibco,-,-,-,5,5,-,EMEA
9/18/2014,5,5,Improve my general knowledge,yes,"All of them, except hawk integration (last unit)",hawk,5,5,perfect,EMEA
9/9/2014,4,1, , , , ,5,5, ,EMEA
9/9/2014,4,4,.,.,.,.,4,4,.,EMEA
9/9/2014,4,3,.,.,.,.,5,5,OK,EMEA
9/9/2014,4,3,.,.,.,.,4,3,.,EMEA
9/9/2014,4,4,.,.,.,.,5,5,.,EMEA
9/9/2014,4,4,Acquisire informazioni di TIBCO Administration,Si.,Deploy,Nessuno,4,4,Competente.,EMEA
9/9/2014,4,4,.,.,.,.,5,5,.,EMEA
9/9/2014,3,3,.,.,.,.,4,4,.,EMEA
9/9/2014,2,1, , , , ,4,4, ,EMEA
9/9/2014,2,3,"Panoramica sul prodotto, funzionalita principali e potenzialita'",Illuminazione inappropriata,Non lavoro ancora sulla nuova area,Non lavoro ancora sulla nuova area,4,4,Preparato,EMEA
9/9/2014,4,4,xx,xx,Input Map e Regole di similitudine,xx,5,4,Molto buona in generale; da migliorare la metodologia per rendere le esercitazioni piu efficaci,EMEA
9/9/2014,4,3,Learn the best pratices to do a tibco admin's work.,na,na,na,4,4,na,EMEA
9/9/2014,3,3,N.A.,N.A.,N.A.,N.A.,5,5,N.A.,EMEA
9/9/2014,4,1, ," 
", ," 
",5,5," 
",EMEA
9/9/2014,4,3,Simulare un progetto concreto,yes,yes,yes,4,4,buona,EMEA
9/9/2014,4,4,.,.,.,.,5,5,He has been really helpful,EMEA
9/9/2014,3,3,non so come (in quale ruolo e con quali mansioni) saro interessato dall'utilizzo del prodotto che effettuera la mia azienda ed il mio futuro progetto,yes,n.a.,n.a.,5,5,"Persona estremamente positiva, competente, disponibile ed attenta alle esigenze di tutti i partecipanti",EMEA
9/18/2014,5,5,A Clear Understanding of EMS and its architecture,yes it was,"EMS WildCards,Routing and Bridging",EMS Architecture,5,5,Very punctual ,APJ
9/18/2014,5,5,That it covers all the basics of EMS .,yes.,Bridging and routing.,Topics an queues were like a revision session.,5,5,Covered the entire topics with lot of clarity.Overall instructor and training was very good.,APJ
9/18/2014,5,5,To understand how ems works and how to use it ,Yes,Queues and topics,None,5,5,He cleared all our doubts and made a point to see that our concepts were clear,APJ
9/18/2014,5,5,The expectations from this course were to have a complete study of EMS from lab and theory perspective. It was a wonderful session and all my doubts were cleared.,It was very supportive.,Bridges and Routes were the most helpful topics.,None,4,5,The instructor is highly skilled and very helpful. He took extra efforts to make us understand the concepts clearly.,APJ
9/18/2014,5,5,Basic concepts related to EMS.,Yes it was good.,creating routes,none,4,4,"Good and in depth technical knowledge, 
clear presentation of technical concepts related to EMS.",APJ
9/18/2014,5,5,"As some of the concepts of EMS were not so clear after the previous EMS session, I had many expectations from this course. And I'm satisfied with this EMS course. Got many of the concepts cleared.",Yes,"Basics of EMS, Bridging, Routing, and many more",all of them were helpful,5,5,"Very Good, ",APJ
9/22/2014,4,4,N/A,N/A,N/A,N/A,4,4,N/A,APJ
9/22/2014,5,5,Good,yes,"Perspective, Rules and processes",Business process and workflows,5,5,Good,APJ
9/22/2014,4,4,Clear the concepts,yes,Roles and perspectives,Na,4,4,Good,APJ
9/22/2014,5,5,Learn mdm basics,yes,all,none,5,5,Knowledgable,APJ
9/22/2014,4,5,Basics of MDM,Yes it was,All,None,5,5,The instructor was good and on track.,APJ
9/22/2014,4,4,Expectations were to get a clear overview of MDM.,It was helpful.,"MDM Repositories and Perspectives,Attribute Group",N/A,4,5,the instructor was able to help a lot with the concepts and labs.,APJ
9/22/2014,5,5,To learn the basics of MDM,Yes,"Repository, Rules",None,5,5,He was helpful and taught us in an excellent way,APJ
9/22/2014,5,5,Basic Concepts related to MDM.,Yes.,All,None.,5,5,Good Technical knowledge,APJ
9/22/2014,5,5,That it covers the basic of MDM.,YES,RULEBASE,NO SUCH TOPIC,5,5,IT COVERED ALL THE BASICS VERY WELL .SO OVERALL IT WAS VERY GOOD.,APJ
9/22/2014,5,5,basic concepts should be cleared,yes,"Relationship, Group attribute, rulebase model",NA,5,5,Instructor was very good.,APJ
9/23/2014,4,3,More in-depth details for BW,Computer were too slow. Not enough RAM. VM always hang up.,lab,Nil,4,4,OK,APJ
9/23/2014,4,4,to get foundation knowledge/concept of &quot;bw&quot;,yes,hand on experience on using &amp;amp;quot;designer&amp;amp;quot;,no,4,3,experienced,APJ
9/22/2014,5,4,To learn the basics of MDM and know about applications of MDM,Yes,Basics of MDM,"None, All of the topics were helping",5,5,"Very Good, wish the training could have lasted for some more days.",APJ
9/22/2014,4,4,Clear concepts and know the usage of MDM,Yes,"Repository,Relationship,Perspective,Workflows",None,5,5,Good,APJ
9/22/2014,5,5,More in depth knowledge of the RV product and also preparation for the possibility of taking an exam,yes,Routing between networks (RVRD),certified messaging as we don't currently use this in our environment due to latency sensitive applications,5,5,Very competent always willing to go back and review things that were not clear. Excellent!!!! ,EMEA
9/22/2014,5,5,"Understand the working of Activespaces, metaspaces and spaces ad how to use them",Yes,"Metaspace, How to use BW to connect to Activespaces, the hands on to create space and using it.",Last few topics were heavy.,5,5,Very good!,AMER
9/22/2014,4,4,I expected to learn how to peform administration of active spaces. ,Yes.,The sizing and performance optimization.,N/A,4,5,Ademola had very good knowlege of AS . ,AMER
9/22/2014,4,4,Know about the product and courseware.,yes,evertything,none,5,5,everything good.,AMER
9/22/2014,3,2,Insight into how to help students handle lab problems.,Mostly,The end-of-day discussion with customers about their needs.,Digressions on licensing and BW demos,5,3,"Ademola has had extensive experience with the product, and answered detailed questions easily.  Unfortunately he digressed and only introduced the last 3 units at 4.15pm, leavng  no time for the labs.  I suppose it is important to please the customers, and that is what motivated him, I think, to introduce BW examples, and try to help someone with their local laptop AS installation, and I suppose that as long as it makes the customers happy, that is what is most important.

Like many administrator courses, the labs have a lot of error-prone typing, and seeing the symptoms of these potential errors was my primary objective.  So the fact that I didn't get to see all the labs in action was a disappointment for this atypical student.",AMER
9/23/2014,3,3,"This was specific to Java development with AS. I thought it should not be restricted to any language specific, should  be general development rule/principle",This course should be any language free development rather than Java development.,This course should be any language free development rather than Java development.,This course should be any language free development rather than Java development.,4,4,he is good,AMER
9/23/2014,5,5,Observe how to solve student lab difficulties,Fine,"Unfortunately, I was called away mid-afternoon, but what I observed was quite helpful.","There were numerous digressions involving verifying why members failed to connect.  There seems to be considerable confusion over the purpose of discovery and listen url's, and when mixed with the use of default parameters, it produces a truly difficult debugging situation.  I recommend always using explicit url parameters to help the instructors retain their sanity.  The course materials need a clearer picture of how the discovery and listen url's participate in the creation of a connection.  The instructor's verbal descriptions are simply inadequate because a picture is worth 1000 words.

Connection issues belong in an admin class.  In this developer class, we should concentrate on post-connection activities.",4,4,"With just 1 paying interactive customer, the instructor could afford to be extremely patient when answering that customer's production-oriented questions.",AMER
9/22/2014,5,5,a,a,a,a,5,5,a,EMEA
9/22/2014,4,5,"Exploring how Tibco Adapters and Services work, and that's fully covered by the course",.,.,",",5,5,Really pleasant and with a deep knowledge of the course topics,EMEA
9/22/2014,5,5,to learn basics or bw,yes,whole curse,none,5,5,"Nice guy, with high presentation skills",EMEA
9/22/2014,5,5,Learning the basics of BW,yes,Lab work., ,5,5,Instructor is experienced and helpful. ,EMEA
9/22/2014,5,4,To get first experiences with BW,Yes,All of them were helpful,none,5,5,Very good,EMEA
9/24/2014,5,5,To learn about Nimbus,yes,All of them,All of them,5,5,Jane was extremely helpful and knowledgeable,AMER
9/23/2014,3,3,Get more basic concepts of the TIBCO and how it work ,The lab pc is very slow,lab exercise,n/a,4,3,OK &amp;amp; helpful,APJ
9/23/2014,5,4,Learn the basic Elements for TIBCO,"The PC is a bit slow which disable the efficiency.
The network is not really stable which discourage the inter PC testing.",The Process Definition and the flow of logic.,Deployment,5,4,Good and helpful.,APJ
9/23/2014,4,4,get the basic idea and the full picture of the Tibco ,good ,lab,The overview of the basic concept,4,4,"explain material clearly. I feel he spend a bit too much time on the basic concept, it will be better if he can focus more on the Tibco related topic.",APJ
9/23/2014,4,4,Getting to know flow chart design,Slow virtual machines,Actual practice on TIBCO Designer,none,5,5,Skilled,APJ
9/23/2014,4,3,"due to time constraint and candidates come from different backgrounds 

The course is too high level, suggest to make it 2 days.","not all notebook is function
even functional, it's always slow to open any program (maybe VM )","I like the labs part
Simple &amp; clear steps to learn what I am doing, and the designer capability.","introduction of instructor is quite meaningless, 5 min intro should be enough (considering candidate &amp; instructor introduction consumes around an hour in the course)",4,4,great,APJ
9/22/2014,5,5,"Learning something about adapters, and something new about tibco bw components. ",yes.,"Using of adapters, and for me was something new for using partners activities, because we use almost every way soap request - replay.",none,5,5,"very good, communicative and supportive",EMEA
9/22/2014,5,4,Foundation knowledge about bw designer concepts and implementation tricks,yes,"threading/memory settigns, par/build process, administrator",none,5,5,"good, well-prepared",EMEA
9/22/2014,5,5,Tibco Designer Debug capabilities und usage,Windows environment not stable as expected,Builing processes,none,5,5,very good knowlege of Tibco products,EMEA
9/24/2014,5,5,To know about the product,yes,all topics,none,5,5,Good explanations and very supportive.,AMER
9/24/2014,5,5,understand the basic to be taught of the course.  Understand what key areas are being taught in basic course.,yes,More advance topics which differentiate nimbus from visio,none,5,5,"very good class.  Material is good, and improving as this was beta class.",AMER
9/26/2014,4,4,N/A,none,all,none,4,4,clear explaination,APJ
9/26/2014,4,4,na,na,na,na,4,4,na,APJ
9/26/2014,5,5,Learn new technology,yes,All,More Lab,4,4,great,APJ
9/26/2014,4,4,.,.,.,.,4,4,.,APJ
9/26/2014,4,4,No,Yes,all,none,4,4,Yes,APJ
9/26/2014,4,4,n/a,Yes,all,none,4,4,The instructor is very nice and helpful.  I had problem with my installation and she helped me to solve it.,APJ
9/26/2014,4,4,To understand BE concept,Yes,Rule inference,BE web service,4,4,helpful,APJ
9/25/2014,5,5,Learning how to use EMS,yes,Chapters on fault-tolerance and load balancing,none,5,5,Competent and confident about the subject.,EMEA
9/25/2014,5,5,first EMS experiance,yes,All,none,5,5,Very good,EMEA
9/28/2014,3,3,expecting covering all the administration tasks for tibco,yes,administrative topics,Creating Domains ,4,4,very good,EMEA
9/22/2014,3,3,.,classroom to small,.,.,4,5,.,EMEA
9/22/2014,2,2,bad,...,...,...,4,3,...,EMEA
9/22/2014,3,3,Learn something about how to test TIBCO implementations,-,"logging, deployment",-,4,4,good knowledge of TIBCO products,EMEA
9/22/2014,4,3,Relevant Knowledge for Testing Software that is developed under Tibco,little bit small,-,-,4,4,"Easy explaining the knowledge, gives examples when needed",EMEA
9/22/2014,3,2,"It was communicated, that the course will be for testers (or changed for testers).The trainer arrived and was a little bit confused bz onlz having testers in the course.
He tries his best but the main focus of the course was for developers, so for me as a tester it was nice to have a view behind the blackbox but mainly it wasnt a lot I need for my work.
Specially the many labs arent helping because I wasnt sure what I did. I just clicked step by step but not knowing what I am doing.",all well,The topics were a little bit out of order because the trainer tried his best to match the changed needs for us.,"The labs because for me it was hard to understand what I am doing.
",4,4,"He tried his best to met our needs. He was helpful, but it felt like he was a little bit helpless.",EMEA
9/22/2014,3,3,Originally the course was planned as a TIBCO Training related for Testers and not for Developer. Unfortunately we are the wrong target audience. I am sure that these training is a very good developer Boot Camp.,-,Tibco Hawk,-,5,5,The Trainer is very engaged and professional. He has an excellent knowledge. He answer all our questions very well and understandable.,EMEA
9/22/2014,3,3,-,Yes,Mediation,None,4,4,He is the professional. ,EMEA
9/22/2014,3,4,"My expectation was, that I would gain some general background information about TIBCO and the different products.

I have expected a focus on themes for testing, like access-points for testing, logging and monitoring possibilities. ",Classroom was ok.,"Logging in AMX Admin console.
Additional topic @HAWK@",Creation and Deployment of DAAs,5,5,"The Instructor was well prepared and motivated.
He uses figurative examples to explain complex stuff and was very helpful during the labs.

Questions are answered in detail.",EMEA
9/22/2014,3,3,Knowledge for Tester, ,"Mediator, Logging", ,5,5,"The instructor knows about what he is talking. Excellent knowledge, good in explaining and showing up the technical issues (whiteboard)",EMEA
9/24/2014,4,4,.,.,.,.,4,5,.,EMEA
9/24/2014,3,3,-,Yes,Adapter,LAB E - Add Adpter Service,3,4,-,EMEA
9/24/2014,3,3,"It was known to us that the course is for testers. 
Today it was tried to make a little bit more relevant for testers and getting through different projects.
But for me this course is more for developing, componenttesters or configuration management and not for pure testers.",all well,The adapters and the architecture for it.,"The labs are not clear enough about what I am doing. We all fell over different mistakes and our trainer needed a lot of time to fix this problems at us.
The chapters were not made in the correct order to match our needs..so it was sometimes hard to follow...",4,5,He was kind and with a lot of patience he tried to help us.,EMEA
9/24/2014,4,3,Gaining some background information about TIBCO Products and architecture.,"Problems with connection to Lab Machines (might be issues on the local network).
Sometimes slow server connection.",Unit 6: Adapters,Unit 3: Deploying unwired services,5,5,"Max was well prepared and provides the technical knowledge.
He explains a lot by simple examples and pictures (especially some complex stuff).

During Labs he explains a lot and solves all problems.

He tries to select the topics relevant for testers.",EMEA
9/24/2014,3,3,Knowledge for testing Application developed with Tibco,-,-,-,4,5,Explains the content very good and understandable. ,EMEA
9/24/2014,4,3,Knowledge for Testers,Massive connection problems due to network performance,"Adapter, Mediation",un-wired connections,5,5,Good knowledge,EMEA
9/24/2014,3,3,...,...,...,...,3,3,...,EMEA
9/24/2014,3,3,Get knowledge about how to test in BW and AMX ,-,differences between BW and AMX,-,4,4,good knowledge of TIBCO products,EMEA
9/24/2014,4,3,"Some test related stuff for the TIBCO products.
The Trainer tried to adapt the content of the training for us. ","The VM worked not stable. I am not sure, if it was a network problem on our side...",Deployment,-,4,5,pretty good...,EMEA
9/25/2014,4,4,to get more info about EMS,"yes, it was","Bridges, EMS Routing, Fault Tolerance, Load Balancing","Central Admin Overview, Web Messaging",4,4,Instructor was helpful and effective,EMEA
9/28/2014,4,4,Getting more information about Tibco EMS and specially get familiar with it implementation and practical aspect ,yes it was helpful specially when ;y instructor is making organigram,"configuring EMS
Routing EMS
ft",no,5,4,"he is nice, clear, ponctual, accurate and helpful",EMEA
9/28/2014,4,4,i was expecting to have a full view of the tibco technology and that what i have met with interacting with the diffrent Tibco products throught the course,yes were supportive,the Design &amp;amp; Deployment Topics,Hawk Capavilities for the domain,5,5,He is a very well professional Instructor that have many diffrenet technologies knowledge.,EMEA
9/28/2014,4,4,Getting knowledge in TIBCO administration. ,Yes,"Monitoring with Hawk , Fault tolerance and load balancing.",No,4,4,Very good and supportive,EMEA
9/28/2014,4,4,Learn basics of Tibco adminstration ,Was supportive,Process design and testing,Tibco buisness work summary,4,5,"Knowledgable , and presented fluently",EMEA
9/28/2014,4,3,I was expecting to be able to install and administer the tibco business works as well as deploying and monitoring bw applications,yes,configuring the domain,none,4,4,"helpful, professional ",EMEA
9/28/2014,5,5,-,Yes,-,-,5,5,"He was good, nice and helpful. Available all the time and clearing all doubts",EMEA
9/28/2014,4,3,Tibco installation  and administration ,yes,administration,"installation and administration and configuration Hawk , Administrator,and EMS",4,4,he has the knowledge to give it ,EMEA
9/28/2014,3,3,I expected more about process design troubleshooting when it shows errors in logs.,It was supportive.,Fail-Over and high availability topics.,none,4,4,Very good technically and helpful. He lacks the ability of grabbing attention of audience.,EMEA
9/28/2014,4,4,adminstrations,deployment,Manging deployment,creating domain,5,5,excellent,EMEA
10/1/2014,4,4,Go into details of TIBCO rendezvous. ,yes there were demonstration to some aspects of the course,components,no,4,4,He is helpful and explains well the different points,EMEA
9/29/2014,5,5,To gain a basic knowledge on how to develop in business works.,Yes,"More in-depth with transitions, XPath, Array processing, error handling.","Hawk mainly, but as I am new to business works, it may be more relevant as I get more into it.",5,5,"Very knowledgable on the Tibco producs, entusiastic, and was a great teacher.  Did reviews the next day which was helpful.",AMER
9/29/2014,4,4,Learn Tibco BW designer/admin,Yes.,Tibco BW designer topics.,Advanced topics that did not provide enough time for labs.,5,5,Great.,AMER
10/1/2014,4,3,I had no expectations because I am new in TIBCO.,yes,import and test,none,4,4,good,EMEA
10/1/2014,3,4,--,Yes,WEB Services,Deployment,5,3,"Professional, ",EMEA
10/1/2014,4,4,-,-,Test Part,Webservices,5,5,-,EMEA
9/22/2014,3,3,Introduction to Tibco BW,yes,Lab work was good it tried to show BW in a business env.,I think the class should be more then a 3 day class.  It felt like we were learning BW just to complete the lab work.  I feel not enough time was spent on the inner working of the BW application itself.,3,4,knowledgable,AMER
9/22/2014,5,5,"I had just a high level idea of ESB, mainly BizTalk discussions and was hoping to understand how an ESB is actually implemented.","Yes, because the hands on labs allowed me to learn with the aid of a very knowledgeable instructor to answer questions and explain how to troubleshoot problems and get the labs working.",The development labs were most helpful for me.  I probably won't do much if any administration in my role and this course didn't focus too much on that.,The administration topics simply because I don't think I'll do much administration in my role.,5,5,"Fred was very friendly, knowledgeable and helpful.  I really enjoyed his presentation of the material and the help he offered during the labs.",AMER
9/25/2014,5,5,.,.,.,.,5,5,.,AMER
9/25/2014,4,4,I am very new to this tibco products.This is course is very much useful and understandable.I am going to support tibco for our environment.This course would be useful for us.,Need more hours for online lab classroom.Course can extend upto 3 days.,"Route, failover,topics,queues are very useful for to support in our environment.",troubleshooting topic will be useful if you have added.,4,4,Instructor was very good. He explained very well taking classroom as well as lab excercises. He answered all our questions.,APJ
9/23/2014,3,3,    ,     ,    ,     ,5,5,      ,EMEA
9/23/2014,3,4,ok,total,Data import,Data import,3,3,positive,EMEA
9/23/2014,4,1, , , , ,5,5, ,EMEA
9/23/2014,3,4, , , , ,5,5, ,EMEA
9/23/2014,3,3, , , , ,5,5, ,EMEA
9/23/2014,4,4,--,--,---,--,5,4,VERY GOOD,EMEA
9/23/2014,2,3, , , , ,4,4, ,EMEA
9/23/2014,5,5,OK,OK,OK,OK,5,5,OK,EMEA
9/23/2014,4,4,Acquisire conoscenze relativamente al MDM di TIBCO,Si,-,-,5,4,Ottima,EMEA
9/23/2014,4,4,The answer to question 1 is due to the fact that at the moment my work is another.,-,-,-,5,5,-,EMEA
9/23/2014,3,3,.,.,.,.,4,4,.,EMEA
9/23/2014,4,4,.,.,.,.,4,4,Good.,EMEA
9/24/2014,3,3,    ,     ,    ,     ,5,5,      ,EMEA
9/24/2014,3,4,ok,total,Data import,Data import,3,3,positive,EMEA
9/24/2014,4,1, , , , ,5,5, ,EMEA
9/24/2014,3,4, , , , ,5,5, ,EMEA
9/24/2014,3,3, , , , ,5,5, ,EMEA
9/24/2014,5,5,OK,OK,OK,OK,5,5,OK,EMEA
9/24/2014,4,4,Acquisire conoscenze relativamente al MDM di TIBCO,Si,-,-,5,4,very good,EMEA
9/24/2014,4,4,The answer to question 1 is due to the fact that at the moment my work is another.,-,-,-,5,5,-,EMEA
9/24/2014,3,3,.,.,.,.,4,4,.,EMEA
9/24/2014,4,4,.,.,.,.,4,4,Good.,EMEA
9/26/2014,3,3,    ,     ,    ,     ,5,5,      ,EMEA
9/26/2014,3,4,ok,total,Data import,Data import,3,3,positive,EMEA
9/26/2014,4,1, , , , ,5,5, ,EMEA
9/26/2014,3,4, , , , ,5,5, ,EMEA
9/26/2014,3,3, , , , ,5,5, ,EMEA
9/26/2014,4,4,--,--,---,--,5,4, ,EMEA
9/26/2014,2,3, , , , ,4,4, ,EMEA
9/26/2014,5,5,OK,OK,OK,OK,5,5,OK,EMEA
9/26/2014,4,4,Acquisire conoscenze relativamente al MDM di TIBCO,Si,-,-,5,4,very good,EMEA
9/26/2014,4,4,The answer to question 1 is due to the fact that at the moment my work is another.,-,-,-,5,5,-,EMEA
9/26/2014,3,3,.,.,.,.,4,4,.,EMEA
9/26/2014,4,4,.,.,.,.,4,4,Good.,EMEA
9/25/2014,5,5,Main expectation was to get knowledge about all AMX capabilities. ,Yes,Load Balancing and Distribution,BusinessWorks Service Engine,5,5,"very nice, sympathetic and patient. good knowledge about product. helpful with solving the problems.",EMEA
9/25/2014,5,5,I wanted to know the architecture and functionality of the TIBCO AMX.,Yes,"Component development, security, monitoring and logging.",Business Works,5,5,Max very well led course. In case of problems was eager to help.,EMEA
9/29/2014,5,5,Hands on development of tibco services. Basic architecture of the platform.,Yes,Day 2-3 topics were the most useful....but I had some prior experience tinkering with tibco designer,Some of the admin stuff (I'll never get to use),5,5,Really solid instructor deep knowledge of the product and able to communicate effectively.,AMER
10/1/2014,4,4,to gain background information about MDM,-,"Import, DataService, WebService",-,5,5,"Good knowledge, helpful hints, good explanation, was well prepared, tried to make the course interesting for testers",EMEA
10/1/2014,4,4,Get Knowledge of Tools und Processes at development,-,-,-,4,4,-,EMEA
10/6/2014,4,4,Expected to udnerstand the architecture and working of APIX,Was supportive,Hands on,EMS,4,4,Good,APJ
9/23/2014,5,5,Cover 3 courses in 4 days. Hit as much as possible in a limited amount of time. Bam. We did it.,Very.,"ActiveSpaces, WebStudio/RMS",None actually.,5,5,"Awesome. Kew anough about EVERYTHING we were covering, and told us when we were askin questions that were beyond his expertise, and with whome we should follow up with. ",AMER
9/23/2014,3,4,Become more proficient at understanding BE and creating rules.  Understand Active Spaces.,Yes,All,NA,4,4,The instructor seemed to understand what he taught.,AMER
9/23/2014,5,5,"Cache management Load balancing, RMS and WebStudio",Yes,Load Balance and OBject Management,N/A,5,5,Good,AMER
9/23/2014,5,5,To understand the basic concepts of BE,none,"Using BE studio, Load balancing, creating rules....",none,5,5,Excellent,AMER
9/23/2014,4,4,learning business events tools,yes,All were helpful,none,4,4,very knowledgeable,AMER
9/23/2014,4,4,Learn basic BE architecture and concepts ,Yes,"Threading models, cache organization and distributed cache architectures",N/A,4,4,Instructor was very helpful and informative. Presentation was apt.,AMER
9/23/2014,5,5,Get me started on BE and associated apps,yes,BE cache,webservices,5,5,knowledgable,AMER
9/23/2014,3,3,Expectations were set 1st day.,Yes,All,None,4,4,Good,AMER
9/29/2014,5,5,to learn BPM,yes,All,none,5,5,very good,EMEA
9/29/2014,5,4,Learning the administration of Active Matrix BPM,yes,Lab work,none,5,5,Competent and helpful,EMEA
9/29/2014,5,5,Learn how to administer and use tibco bpm. ,Yes,"Configuring LDAP for BPM
Create Distributed Configuration",Common Operating System Tasks,5,5,Very good.,EMEA
9/29/2014,5,5,Known TIBCO AMX BPM,Yes,"TIBCO AMX BPM, Integration with SOA Services",Email Push Notification,5,5,He is very good instructor - professional.,EMEA
9/30/2014,5,5,To get a fair knowledge on Foresight and Edisim,Yes,Foresight,None,5,5,Explained very well on the topics discussed. ,AMER
9/30/2014,5,4,My expectations were clear cut explanations and it was delivered perfectly.,Ya it completely backed us throughout our training.,Document Splitter topic was very handy.,I don't think anything so.,5,5,He was very collaborative and had a nice sense of humor at times.,AMER
9/30/2014,4,4,Designing of workflows and implementing it.,Yes,Validator and Workflows,NA,4,4,"Clearly explained the Topic, Really helpful.
But i feel it would be more useful for us if we would have had live lab session from the instructor. (For each thing)",AMER
9/30/2014,4,3,To know about new tool,Yes,Validation,None,4,4,Clearly explained the concepts effecively,AMER
